               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.049201,             0.09482,             0.00935,              0.7265,             0.60218,             0.64258,              0.2874,             0.05263,            0.071187,            0.014803,           0.0024195,           0.0024195,           0.0024195
                  76,            0.048829,             0.08945,           0.0097749,             0.72805,             0.58074,              0.6299,             0.28295,            0.052938,            0.072247,            0.014951,            0.002318,            0.002318,            0.002318
                  77,            0.049311,            0.090201,           0.0097017,              0.6044,             0.63425,             0.62878,             0.27355,            0.052535,            0.073404,            0.015017,           0.0022196,           0.0022196,           0.0022196
                  78,            0.048826,            0.089989,           0.0093472,             0.76026,             0.57879,             0.62856,             0.29361,            0.051902,            0.070343,            0.015355,           0.0021245,           0.0021245,           0.0021245
                  79,            0.049103,            0.091802,           0.0088913,             0.68893,             0.59358,             0.62879,             0.28223,            0.052453,            0.071457,            0.014823,           0.0020327,           0.0020327,           0.0020327
                  80,            0.048323,            0.091009,           0.0090439,              0.7409,             0.61819,             0.63908,             0.27294,            0.052885,            0.071179,            0.014739,           0.0019443,           0.0019443,           0.0019443
                  81,            0.049011,            0.092818,           0.0090737,             0.74772,             0.58252,             0.64259,             0.28705,            0.052049,            0.071868,             0.01452,           0.0018594,           0.0018594,           0.0018594
                  82,            0.048349,            0.089953,           0.0098864,             0.65578,             0.60575,             0.61431,             0.28679,            0.053312,            0.072675,            0.015573,           0.0017781,           0.0017781,           0.0017781
                  83,            0.049303,            0.093258,           0.0093534,             0.73986,             0.55575,             0.61401,             0.26099,             0.05324,            0.071864,            0.016185,           0.0017005,           0.0017005,           0.0017005
                  84,            0.048038,            0.089439,           0.0087475,             0.70307,             0.60562,             0.64128,             0.30832,            0.052875,            0.071502,            0.014755,           0.0016267,           0.0016267,           0.0016267
                  85,            0.048316,            0.091215,           0.0093852,             0.68849,             0.60378,             0.64554,             0.29737,            0.052318,            0.071964,            0.015014,           0.0015566,           0.0015566,           0.0015566
                  86,            0.047507,            0.085563,            0.008878,             0.75595,             0.60966,                0.65,             0.28858,             0.05196,            0.071409,             0.01538,           0.0014905,           0.0014905,           0.0014905
                  87,            0.048068,            0.088344,           0.0092811,             0.64967,             0.61761,             0.61807,             0.28461,            0.052435,            0.071895,            0.014575,           0.0014283,           0.0014283,           0.0014283
                  88,            0.047631,            0.086766,           0.0087704,             0.76793,             0.57944,             0.65486,             0.30333,            0.052151,            0.071622,            0.015296,           0.0013701,           0.0013701,           0.0013701
                  89,            0.047548,            0.093855,           0.0086651,             0.78339,             0.57124,             0.63971,              0.2876,            0.052222,            0.073479,            0.015227,            0.001316,            0.001316,            0.001316
                  90,            0.048025,             0.08897,           0.0084796,             0.79462,             0.58406,             0.64815,             0.29497,            0.052472,            0.072818,            0.015079,            0.001266,            0.001266,            0.001266
                  91,            0.046713,             0.09147,           0.0083615,             0.67041,             0.62958,             0.64801,             0.30522,             0.05162,            0.071678,            0.014842,           0.0012202,           0.0012202,           0.0012202
                  92,            0.047472,            0.093223,           0.0085906,             0.79179,             0.57338,             0.64004,             0.30234,            0.051949,             0.07233,            0.015355,           0.0011787,           0.0011787,           0.0011787
                  93,            0.046869,            0.089389,           0.0092215,             0.70137,              0.6129,             0.62601,             0.30479,             0.05185,            0.071475,            0.015142,           0.0011414,           0.0011414,           0.0011414
                  94,            0.048208,             0.09404,           0.0085105,             0.78641,                0.56,             0.62876,             0.30413,            0.051807,            0.071326,            0.015617,           0.0011084,           0.0011084,           0.0011084
                  95,            0.046202,            0.086592,           0.0077685,             0.70493,             0.57838,             0.61874,             0.28468,            0.051969,            0.071782,            0.015668,           0.0010797,           0.0010797,           0.0010797
                  96,             0.04686,            0.089179,            0.008171,             0.78973,             0.57433,             0.63045,             0.30422,            0.052006,            0.072577,            0.015485,           0.0010554,           0.0010554,           0.0010554
                  97,            0.046626,            0.085711,           0.0082517,             0.71306,             0.60156,             0.64852,             0.30491,            0.051604,            0.072507,              0.0154,           0.0010355,           0.0010355,           0.0010355
                  98,            0.046442,            0.084112,           0.0083597,             0.74812,              0.6139,             0.66305,             0.31278,            0.051323,            0.071719,            0.015122,             0.00102,             0.00102,             0.00102
                  99,            0.046575,            0.091067,           0.0076792,             0.79371,             0.60722,             0.66066,             0.31179,            0.051336,            0.071991,            0.015462,           0.0010089,           0.0010089,           0.0010089
