               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.050795,            0.097459,           0.0096359,             0.70551,             0.58861,             0.61551,              0.2741,            0.052915,            0.068071,            0.013965,           0.0029706,           0.0029706,           0.0029706
                  71,            0.050224,            0.088797,           0.0095773,             0.68872,             0.50769,             0.55206,             0.24871,             0.05354,            0.069623,            0.014402,            0.002855,            0.002855,            0.002855
                  72,            0.049801,            0.087584,           0.0092242,              0.7304,             0.50497,              0.5866,             0.26703,            0.053207,            0.069525,            0.014663,           0.0027419,           0.0027419,           0.0027419
                  73,            0.050691,            0.092397,            0.009046,             0.73033,             0.51675,             0.59302,             0.25421,            0.053825,            0.069018,            0.013208,           0.0026316,           0.0026316,           0.0026316
                  74,            0.050259,            0.094662,           0.0093375,              0.7171,             0.49114,             0.53748,             0.24135,            0.053704,            0.068867,            0.014142,           0.0025241,           0.0025241,           0.0025241
                  75,            0.050895,            0.088991,           0.0094956,             0.68398,              0.4965,             0.56966,             0.26274,            0.053286,            0.068753,             0.01392,           0.0024195,           0.0024195,           0.0024195
                  76,            0.049921,            0.092686,           0.0089078,             0.71059,             0.51656,             0.56206,             0.26343,            0.052629,            0.068879,            0.013304,            0.002318,            0.002318,            0.002318
                  77,            0.049315,            0.092101,           0.0090887,             0.68868,             0.56736,             0.59114,             0.26608,            0.053099,            0.068349,            0.013751,           0.0022196,           0.0022196,           0.0022196
                  78,            0.049222,            0.082651,           0.0092684,             0.72351,             0.55498,             0.59953,             0.26955,            0.053357,            0.068683,            0.014125,           0.0021245,           0.0021245,           0.0021245
                  79,            0.049701,            0.092299,           0.0082099,             0.67577,             0.54621,             0.56736,             0.24767,            0.053266,            0.069944,             0.01386,           0.0020327,           0.0020327,           0.0020327
                  80,            0.048419,            0.090035,           0.0078969,             0.74321,             0.53638,             0.59806,             0.26603,            0.052769,            0.069041,            0.014541,           0.0019443,           0.0019443,           0.0019443
                  81,            0.049988,            0.098306,           0.0088131,             0.66262,             0.50609,             0.55054,             0.25221,            0.052824,            0.070266,            0.013684,           0.0018594,           0.0018594,           0.0018594
                  82,            0.048357,            0.090423,           0.0092242,             0.69503,             0.50787,             0.56709,             0.24835,            0.052885,            0.069974,            0.013994,           0.0017781,           0.0017781,           0.0017781
                  83,            0.048244,            0.087434,           0.0079176,             0.67196,             0.56093,             0.60726,              0.2617,             0.05244,            0.068562,            0.013661,           0.0017005,           0.0017005,           0.0017005
                  84,            0.048316,            0.083214,            0.008088,             0.75792,             0.53505,             0.60354,             0.26283,            0.052376,            0.069144,             0.01294,           0.0016267,           0.0016267,           0.0016267
                  85,            0.047804,            0.084975,           0.0082317,             0.77825,             0.51726,             0.59009,             0.27556,            0.052273,            0.068936,            0.014111,           0.0015566,           0.0015566,           0.0015566
                  86,            0.048239,            0.089444,           0.0086867,             0.69184,              0.5224,             0.57744,             0.26273,            0.052564,             0.06998,            0.014749,           0.0014905,           0.0014905,           0.0014905
                  87,            0.048253,            0.088228,           0.0086966,              0.7104,             0.54365,             0.59281,             0.27938,            0.052334,              0.0687,            0.013234,           0.0014283,           0.0014283,           0.0014283
                  88,            0.047386,            0.086335,           0.0090341,             0.65066,             0.56432,              0.5934,             0.26652,            0.052565,             0.06883,            0.013484,           0.0013701,           0.0013701,           0.0013701
                  89,            0.048152,            0.090024,           0.0083452,             0.70834,             0.56962,             0.60848,             0.28138,            0.052595,             0.06905,            0.013179,            0.001316,            0.001316,            0.001316
                  90,            0.048334,            0.083553,           0.0077279,             0.71783,             0.52872,             0.58017,             0.27536,             0.05314,            0.068973,            0.014716,            0.001266,            0.001266,            0.001266
                  91,            0.047868,            0.086281,           0.0079438,             0.73032,             0.54202,              0.5844,             0.26962,            0.052285,            0.069808,            0.014811,           0.0012202,           0.0012202,           0.0012202
                  92,            0.047522,            0.085048,           0.0082126,             0.77598,             0.52022,             0.60153,             0.28543,            0.052178,            0.068365,            0.013564,           0.0011787,           0.0011787,           0.0011787
                  93,             0.04673,            0.085967,           0.0074341,             0.70915,             0.54677,             0.60911,             0.27884,            0.052886,            0.069459,            0.013823,           0.0011414,           0.0011414,           0.0011414
                  94,            0.046785,            0.083548,           0.0073758,             0.71286,             0.54898,             0.59867,             0.29617,            0.051775,            0.068849,            0.013577,           0.0011084,           0.0011084,           0.0011084
                  95,            0.046722,             0.08173,           0.0076657,             0.72587,             0.52936,             0.59961,             0.29512,            0.052012,            0.068957,            0.014314,           0.0010797,           0.0010797,           0.0010797
                  96,            0.047157,            0.084471,           0.0073979,             0.63126,             0.56478,             0.59477,             0.28582,            0.052344,            0.069775,            0.014512,           0.0010554,           0.0010554,           0.0010554
                  97,            0.047293,            0.087261,           0.0075912,             0.71542,             0.50911,             0.57673,             0.28207,            0.052431,            0.069093,            0.014912,           0.0010355,           0.0010355,           0.0010355
                  98,            0.046394,            0.087597,           0.0076273,             0.68688,             0.53558,             0.59693,             0.27882,            0.051972,            0.069296,            0.013554,             0.00102,             0.00102,             0.00102
                  99,            0.047004,            0.085241,           0.0073128,             0.74919,               0.578,             0.62941,             0.29644,            0.051985,            0.069183,             0.01372,           0.0010089,           0.0010089,           0.0010089
